,,,,,,,,,,,,,,commute-time,,,
id,choice,train_cost,car_cost,cost_diff,train_ivt,car_ivt,time_diff,train_ovt,car_ovt,train_freq,car_freq,income,distance,train,car,diff,train
1,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,45,83,116,61,-55,0
2,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,25,83,116,61,-55,0
3,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,70,83,116,61,-55,0
4,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,70,83,116,61,-55,0
5,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,55,83,116,61,-55,0
6,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,70,83,116,61,-55,0
7,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,15,83,116,61,-55,0
8,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,15,83,116,61,-55,0
9,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,35,83,116,61,-55,0
10,0,28.25,15.77,-12.48,50,61,11,66,0,4,0,25,83,116,61,-55,0
11,0,31.25,19.95,-11.3,50,79,29,74,0,4,0,35,105,124,79,-45,0
12,0,31.25,19.95,-11.3,50,79,29,74,0,4,0,70,105,124,79,-45,0
13,0,31.25,19.95,-11.3,50,79,29,74,0,4,0,70,105,124,79,-45,0
14,0,45.65,29.26,-16.39,117,119,2,109,0,4,0,70,154,226,119,-107,0
15,0,45.65,29.26,-16.39,117,119,2,109,0,4,0,35,154,226,119,-107,0
16,0,45.65,29.26,-16.39,117,119,2,109,0,4,0,70,154,226,119,-107,0
17,0,45.65,35.34,-10.31,117,146,29,109,0,4,0,45,186,226,146,-80,0
72,0,44.15,43.89,-0.26,117,153,36,89,0,4,0,45,231,206,153,-53,0
73,0,44.15,43.89,-0.26,117,153,36,89,0,4,0,35,231,206,153,-53,0
74,0,44.15,43.89,-0.26,117,153,36,89,0,4,0,70,231,206,153,-53,0
75,0,44.15,43.89,-0.26,117,153,36,89,0,4,0,70,231,206,153,-53,0
202,0,46.65,60.8,14.15,117,240,123,124,0,4,0,45,320,241,240,-1,0
227,0,32,15.77,-16.23,50,74,24,85,0,4,0,45,83,135,74,-61,0
228,0,32,15.77,-16.23,50,74,24,85,0,4,0,70,83,135,74,-61,0
238,0,44.9,39.71,-5.19,117,148,31,100,0,4,0,70,209,217,148,-69,0
252,0,47.4,56.62,9.22,117,234,117,135,0,4,0,35,298,252,234,-18,0
266,0,45.9,28.12,-17.78,117,102,-15,110,0,4,0,45,148,227,102,-125,0
282,0,34.8,38.76,3.96,67,149,82,100,0,4,0,35,204,167,149,-18,0
287,0,32.5,8.93,-23.57,67,43,-24,115,0,4,0,35,47,182,43,-139,0
290,1,27,19.76,-7.24,67,78,11,70,0,4,0,45,104,137,78,-59,1
291,1,27,19.76,-7.24,67,78,11,70,0,4,0,40,104,137,78,-59,1
292,1,27,19.76,-7.24,67,78,11,70,0,4,0,55,104,137,78,-59,1
293,1,27,19.76,-7.24,67,78,11,70,0,4,0,25,104,137,78,-59,1
294,1,27,19.76,-7.24,67,78,11,70,0,4,0,25,104,137,78,-59,1
295,0,27,19.76,-7.24,67,78,11,70,0,4,0,55,104,137,78,-59,0
296,0,27,19.76,-7.24,67,78,11,70,0,4,0,55,104,137,78,-59,0
297,0,27,19.76,-7.24,67,78,11,70,0,4,0,70,104,137,78,-59,0
298,0,27,19.76,-7.24,67,78,11,70,0,4,0,35,104,137,78,-59,0
299,0,27,19.76,-7.24,67,78,11,70,0,4,0,27,104,137,78,-59,0
300,0,27,19.76,-7.24,67,78,11,70,0,4,0,70,104,137,78,-59,0
301,0,27,19.76,-7.24,67,78,11,70,0,4,0,25,104,137,78,-59,0
302,0,27,19.76,-7.24,67,78,11,70,0,4,0,70,104,137,78,-59,0
303,0,27,19.76,-7.24,67,78,11,70,0,4,0,55,104,137,78,-59,0
304,0,27,19.76,-7.24,67,78,11,70,0,4,0,45,104,137,78,-59,0
305,0,27,19.76,-7.24,67,78,11,70,0,4,0,55,104,137,78,-59,0
306,0,27,19.76,-7.24,67,78,11,70,0,4,0,35,104,137,78,-59,0
307,0,27,19.76,-7.24,67,78,11,70,0,4,0,70,104,137,78,-59,0
308,0,27,19.76,-7.24,67,78,11,70,0,4,0,45,104,137,78,-59,0
309,0,27,19.76,-7.24,67,78,11,70,0,4,0,55,104,137,78,-59,0
310,0,27,19.76,-7.24,67,78,11,70,0,4,0,35,104,137,78,-59,0
311,0,27,19.76,-7.24,67,78,11,70,0,4,0,29,104,137,78,-59,0
312,0,27,19.76,-7.24,67,78,11,70,0,4,0,70,104,137,78,-59,0
313,0,27,19.76,-7.24,67,78,11,70,0,4,0,25,104,137,78,-59,0
314,0,27,19.76,-7.24,67,78,11,70,0,4,0,70,104,137,78,-59,0
315,0,31,27.93,-3.07,67,102,35,95,0,4,0,15,147,162,102,-60,0
317,0,32.5,31.35,-1.15,67,133,66,115,0,4,0,55,165,182,133,-49,0
364,1,118.3,192.85,74.55,702,638,-64,108,0,2,0,5,1015,810,638,-172,1
366,0,23.7,15.39,-8.31,36,63,27,65,0,5,0,25,81,101,63,-38,0
397,0,33.2,21.09,-12.11,41,85,44,155,0,7,0,70,111,196,85,-111,0
398,0,28.7,16.34,-12.36,41,79,38,110,0,7,0,70,86,151,79,-72,0
399,0,28.7,16.34,-12.36,41,79,38,110,0,7,0,45,86,151,79,-72,0
403,0,33.6,45.41,11.81,63,206,143,160,0,8,0,70,239,223,206,-17,0
423,0,31.8,16.53,-15.27,35,69,34,90,0,5,0,35,87,125,69,-56,0
424,0,31.8,16.53,-15.27,35,69,34,90,0,5,0,55,87,125,69,-56,0
425,0,33.8,18.24,-15.56,35,77,42,90,0,5,0,55,96,125,77,-48,0
426,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,70,63,170,47,-123,0
427,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,70,63,170,47,-123,0
428,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,55,63,170,47,-123,0
429,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,35,63,170,47,-123,0
430,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,55,63,170,47,-123,0
431,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,55,63,170,47,-123,0
432,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,35,63,170,47,-123,0
433,0,43.4,11.97,-31.43,40,47,7,130,0,8,0,35,63,170,47,-123,0
434,0,40.4,15.2,-25.2,40,62,22,115,0,8,0,70,80,155,62,-93,0
435,0,40.4,15.2,-25.2,40,62,22,115,0,8,0,70,80,155,62,-93,0
436,0,40.4,15.2,-25.2,40,62,22,115,0,8,0,55,80,155,62,-93,0
437,0,40.4,15.2,-25.2,40,62,22,115,0,8,0,70,80,155,62,-93,0
486,0,35.35,19.76,-15.59,35,84,49,95,0,5,0,70,104,130,84,-46,0
487,0,46.95,15.2,-31.75,40,62,22,135,0,8,0,70,80,175,62,-113,0
488,0,43.95,18.43,-25.52,40,76,36,120,0,8,0,32,97,160,76,-84,0
502,0,45.4,15.58,-29.82,40,58,18,140,0,8,0,70,82,180,58,-122,0
503,0,45.4,15.58,-29.82,40,58,18,140,0,8,0,70,82,180,58,-122,0
504,0,45.4,15.58,-29.82,40,58,18,140,0,8,0,55,82,180,58,-122,0
505,0,42.4,18.81,-23.59,40,73,33,125,0,8,0,35,99,165,73,-92,0
506,0,39.4,19.38,-20.02,40,75,35,150,0,8,0,55,102,190,75,-115,0
541,0,43.4,28.31,-15.09,40,107,67,130,0,8,0,36,149,170,107,-63,0
542,0,43.4,28.31,-15.09,40,107,67,130,0,8,0,26,149,170,107,-63,0
543,0,43.4,28.31,-15.09,40,107,67,130,0,8,0,70,149,170,107,-63,0
544,0,43.4,28.31,-15.09,40,107,67,130,0,8,0,70,149,170,107,-63,0
545,0,40.4,31.54,-8.86,40,121,81,115,0,8,0,25,166,155,121,-34,0
546,0,37.4,32.11,-5.29,40,123,83,140,0,8,0,35,169,180,123,-57,0
561,0,37.4,61.18,23.78,40,250,210,155,0,8,0,55,322,195,250,55,0
562,0,44.4,55.48,11.08,40,193,153,165,0,8,0,45,292,205,193,-12,0
568,0,28.55,13.11,-15.44,24,55,31,102,0,4,0,70,69,126,55,-71,0
569,0,28.05,13.11,-14.94,24,58,34,97,0,4,0,35,69,121,58,-63,0
579,1,20.45,12.35,-8.1,36,57,21,55,0,5,0,15,65,91,57,-34,1
580,1,20.45,12.35,-8.1,36,57,21,55,0,5,0,28,65,91,57,-34,1
581,1,20.45,12.35,-8.1,36,57,21,55,0,5,0,15,65,91,57,-34,1
582,0,20.45,12.35,-8.1,36,57,21,55,0,5,0,35,65,91,57,-34,0
939,0,20.8,7.98,-12.82,35,43,8,65,0,5,0,70,42,100,43,-57,0
940,0,23.2,11.21,-11.99,41,57,16,59,0,7,0,70,59,100,57,-43,0
941,0,23.2,11.21,-11.99,41,57,16,59,0,7,0,70,59,100,57,-43,0
942,0,24.7,11.78,-12.92,41,60,19,75,0,7,0,55,62,116,60,-56,0
968,0,37.6,41.42,3.82,63,156,93,110,0,8,0,55,218,173,156,-17,0
969,0,37.6,41.42,3.82,63,156,93,110,0,8,0,27,218,173,156,-17,0
1008,0,35.6,22.23,-13.37,92,88,-4,100,0,4,0,70,117,192,88,-104,0
1009,0,35.6,22.23,-13.37,92,88,-4,100,0,4,0,70,117,192,88,-104,0
1010,0,35.6,22.23,-13.37,92,88,-4,100,0,4,0,36,117,192,88,-104,0
1011,0,35.6,22.23,-13.37,92,88,-4,100,0,4,0,70,117,192,88,-104,0
1012,0,35.6,22.23,-13.37,92,88,-4,100,0,4,0,36,117,192,88,-104,0
1013,0,32.6,25.46,-7.14,92,102,10,85,0,4,0,55,134,177,102,-75,0
1014,0,32.6,25.46,-7.14,92,102,10,85,0,4,0,35,134,177,102,-75,0
1015,0,32.6,25.46,-7.14,92,102,10,85,0,4,0,70,134,177,102,-75,0
1016,0,32.6,25.46,-7.14,92,102,10,85,0,4,0,70,134,177,102,-75,0
